Modelo,F1_mean,F1_std,AUC_mean,AUC_std,Accuracy_mean,Recall_mean,Precision_mean
SkipConnectionCNN,0.5641025641025641,0.10256410256410253,0.4855006105006105,0.1640720390720391,0.4772727272727273,0.5604395604395604,0.5714285714285714
MultiHeadAttentionLSTM,0.2903225806451613,0.2903225806451613,0.22054334554334554,0.10088522588522586,0.38636363636363635,0.34615384615384615,0.25
TCN,0.26111111111111107,0.03888888888888889,0.3421855921855922,0.1278998778998779,0.36363636363636365,0.18681318681318682,0.4642857142857143
InceptionTime,0.4074074074074074,0.18518518518518517,0.37362637362637363,0.08791208791208793,0.4318181818181818,0.3791208791208791,0.5357142857142857
