,Test_Ej4,Test_Ej5,Test_Ej6,Test_Ej7,Test_Ej8
Train_Ej4,0.30434782608695654,0.13043478260869565,0.0,0.0,0.043478260869565216
Train_Ej5,0.7391304347826086,0.9130434782608695,0.5217391304347826,0.34782608695652173,0.9130434782608695
Train_Ej6,1.0,1.0,0.7391304347826086,1.0,1.0
Train_Ej7,0.30434782608695654,0.08695652173913043,0.0,0.0,0.043478260869565216
Train_Ej8,0.8260869565217391,0.7391304347826086,0.6956521739130435,0.043478260869565216,0.17391304347826086
