ejercicio,nombre,accuracy_mean,accuracy_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,auc_mean,auc_std,n_folds
4,Pronación-supinación (manos),0.49263468013468015,0.09745167473769552,0.46013986013986014,0.2314455645961814,0.7000000000000001,0.4281744192888376,0.4580026455026455,0.29246959781054,0.6875,0.3269439724342859,6
5,Tapping dedos,0.5555555555555556,0.0,0.7142857142857143,0.0,1.0,0.0,0.5555555555555556,0.0,0.60625,0.0,1
6,Tapping pies (bradicinesia),0.5909090909090909,0.2272727272727273,0.5202020202020202,0.297979797979798,0.41758241758241754,0.27472527472527475,0.75,0.25,0.8757631257631258,0.09004884004884,2
7,Levantarse silla,0.6944444444444444,0.1756820922315766,0.26666666666666666,0.38873012632302006,0.24,0.3878143885933063,0.4,0.48989794855663565,0.5533333333333335,0.32359096265364257,5
8,Marcha,0.53,0.030000000000000027,0.3333333333333333,0.3333333333333333,0.5,0.5,0.25,0.25,0.4939474106140772,0.13592271925605257,2
