ejercicio,nombre,accuracy,f1,recall,precision,auc
4,Pronación-supinación,0.5858523313631674,0.5666549953314659,0.5498839009287926,0.6044924356689062,0.631353804897115
5,Tapping dedos,0.6516583328105086,0.7287898333176971,0.8042496148337234,0.6718688358260179,0.6438694271251967
6,Tapping pies (bradicinesia),0.7533649335251155,0.7887314777834397,0.7996810676344911,0.7861372855725126,0.8115507616793385
7,Levantarse silla,0.8309643255295429,0.57004329004329,0.5800000000000001,0.5842857142857143,0.863189792663477
8,Marcha,0.680466828966355,0.6039533968570113,0.5950128008192525,0.6263603680843058,0.7057647497357034
