window_name,window_size,window_seconds,n_windows,n_features,f1_mean,f1_std,auc_mean,auc_std,n_folds
0.5s,25,0.5,2899,35,0.7040618955512572,0.023210831721470038,0.6413974680781404,0.1494188584524719,2
1s,50,1.0,1413,35,0.6681818181818182,0.0318181818181818,0.8517857142857144,0.026785714285714246,2
2s,100,2.0,691,35,0.7,0.10000000000000003,0.9571428571428572,0.042857142857142816,2
3s,150,3.0,441,35,0.7333333333333334,0.06666666666666671,0.9166666666666667,0.08333333333333331,2
4s,200,4.0,327,35,0.65,0.15000000000000002,0.8333333333333333,0.16666666666666669,2
5s,250,5.0,254,35,0.6666666666666666,0.0,0.875,0.125,2
6s,300,6.0,215,35,0.6666666666666666,0.0,1.0,0.0,1
8s,400,8.0,143,35,0.0,0.0,1.0,0.0,1
10s,500,10.0,109,35,0.0,0.0,1.0,0.0,1
