Feature,RF_Importance,MI_Score,Variance,Correlation_Redundant
gyro_power_bradykinesia,0.07103399720961816,0.08343488037196178,0.7354015391663237,False
acc_mean,0.06283218362595369,0.0944367918044191,0.7939503324858275,True
acc_rel_power_tremor,0.05652789222373346,0.07677440374636846,0.5431046614573074,False
gyro_rms,0.05630728065776061,0.14001828183649256,0.5919842636437548,True
acc_rms,0.04922433720619098,0.12524905458565105,0.6855513959873177,True
gyro_mean,0.045147696370776334,0.0818396238073853,0.5645759427456334,True
acc_power_tremor,0.0426690392743274,0.0950379447134686,1.004746185301554,False
gyro_rel_power_high,0.03908442153118768,0.0,4.300338095638829,False
gyro_std,0.037100932538648296,0.13030962564835957,0.6495665834737778,False
acc_rel_power_high,0.03465242024066079,0.017750428790953343,0.6101309087609748,False
gyro_rel_power_bradykinesia,0.03394227557143843,0.027332526655693634,0.3979916238198498,True
gyro_rel_power_tremor,0.0329122396638737,0.02483871095797907,0.42937907189667834,True
gyro_range,0.02955394051700785,0.08207061855058195,0.6676336449211905,True
acc_power_high,0.027627750406141058,0.11270443151963971,1.40999083497299,False
jerk_std,0.027331734246925945,0.07216435086334227,0.6147540864684492,True
gyro_max,0.02714524763224817,0.08425708162978807,0.6521297808547486,True
jerk_rms,0.02622906852891433,0.06911762598422322,0.6145913434124702,True
acc_std,0.025812774436194022,0.09801063742629257,0.5316184517413688,False
acc_range,0.022048061382001112,0.051010953148029836,0.6534156069833886,True
gyro_power_high,0.021949227006530368,0.028564204119050585,2.9678770241818873,False
gyro_power_tremor,0.021926968154490946,0.053712501720802,0.7185455602250265,False
acc_max,0.02174283431761304,0.09141707383564235,0.5996554021832212,True
gyro_dom_freq,0.020548794177868954,0.07589222650573713,0.6225200583897594,False
acc_rel_power_bradykinesia,0.019480085291348617,0.05659933870795042,0.5976617512629698,False
gyro_skew,0.019122403369172907,0.03609504882012593,0.8760561793037811,False
acc_min,0.01883980604695989,0.00815586086150244,0.6272641721404312,False
acc_dom_freq,0.018011108375716817,0.04653944832031698,0.513202619580672,False
acc_power_bradykinesia,0.017019082132814292,0.030687300509822935,1.1771134219735042,False
gyro_min,0.01681177700912373,0.02737815693617529,1.2736357630306034,False
acc_skew,0.015864609060463917,0.0016404574038817454,0.7719076609212904,False
acc_kurtosis,0.015442491692883557,0.0,2.8847983720973485,False
gyro_kurtosis,0.01493276007019036,0.007434689887064527,11.402150232489898,False
jerk_mean,0.011124760031220616,0.003081670189477581,1.025977377151332,False
zcr_acc,0.0,0.0,0.0,False
zcr_gyro,0.0,0.0,0.0,False
