Feature,MI_Score
gyro_rms,0.14001828183649256
gyro_std,0.13030962564835957
acc_rms,0.12524905458565105
acc_power_high,0.11270443151963971
acc_std,0.09801063742629257
acc_power_tremor,0.0950379447134686
acc_mean,0.0944367918044191
acc_max,0.09141707383564235
gyro_max,0.08425708162978807
gyro_power_bradykinesia,0.08343488037196178
gyro_range,0.08207061855058195
gyro_mean,0.0818396238073853
acc_rel_power_tremor,0.07677440374636846
gyro_dom_freq,0.07589222650573713
jerk_std,0.07216435086334227
jerk_rms,0.06911762598422322
acc_rel_power_bradykinesia,0.05659933870795042
gyro_power_tremor,0.053712501720802
acc_range,0.051010953148029836
acc_dom_freq,0.04653944832031698
gyro_skew,0.03609504882012593
acc_power_bradykinesia,0.030687300509822935
gyro_power_high,0.028564204119050585
gyro_min,0.02737815693617529
gyro_rel_power_bradykinesia,0.027332526655693634
gyro_rel_power_tremor,0.02483871095797907
acc_rel_power_high,0.017750428790953343
acc_min,0.00815586086150244
gyro_kurtosis,0.007434689887064527
jerk_mean,0.003081670189477581
acc_skew,0.0016404574038817454
acc_kurtosis,0.0
gyro_rel_power_high,0.0
zcr_acc,0.0
zcr_gyro,0.0
