strategy,f1_mean,f1_std,auc_mean,auc_std,n_folds
Original (por ventana),0.7967639978711759,0.012684197552651263,0.8200311092929476,0.04269432885994045,5
Modal (moda por sujeto),0.79361828395871,0.04472999663127907,0.8048689304530425,0.05306660133592895,5
Máximo (peor severidad),0.79361828395871,0.04472999663127907,0.8048689304530425,0.05306660133592895,5
Primera sesión,0.79361828395871,0.04472999663127907,0.8048689304530425,0.05306660133592897,5
