Feature,Mean_SHAP
gyro_power_bradykinesia,0.040243655917083274
acc_mean,0.039099407824736025
gyro_rms,0.03438073451931917
acc_power_tremor,0.03205425237813485
gyro_mean,0.032041045127927666
acc_rms,0.027116069472223506
acc_rel_power_tremor,0.02609797020041519
acc_rel_power_high,0.0238916462109556
gyro_std,0.022470177443320388
gyro_rel_power_tremor,0.021427932142119438
gyro_rel_power_high,0.02112811610909532
gyro_rel_power_bradykinesia,0.017928923621431638
gyro_max,0.015562388183079371
gyro_range,0.012552579409285853
acc_power_high,0.011979604539880225
gyro_power_high,0.011473213324831975
gyro_dom_freq,0.011452777622275907
acc_dom_freq,0.010831792059555277
acc_max,0.010710027527210486
jerk_std,0.009833336375994033
jerk_rms,0.009639462710842062
acc_std,0.009381225508806065
acc_power_bradykinesia,0.0072858703768090205
acc_skew,0.0071774831590957185
acc_rel_power_bradykinesia,0.007160325193243753
gyro_min,0.007135350195564637
acc_min,0.0065268064745167805
gyro_power_tremor,0.00637013363355713
acc_range,0.005907776553798439
gyro_skew,0.005763757951268973
acc_kurtosis,0.0046057427868206905
gyro_kurtosis,0.003660005353811658
jerk_mean,0.002411026714084235
zcr_acc,0.0
zcr_gyro,0.0
