ejercicio,sintoma,n_muestras,f1_mean,f1_std,auc_mean,auc_std,n_folds
1,Temblor postural,1083,0.5162068673145469,0.1680671441537247,0.6964803382649467,0.1409319058848401,5
2,Temblor en acción,1017,0.5391592817236424,0.12189295496634202,0.6217096230525754,0.09913067432590741,5
4,Pronación-supinación,172,0.5858028372639379,0.05728598488756267,0.6216105288185558,0.08278638733758038,5
5,Tapping dedos,678,0.7236452791656663,0.05102479745425402,0.6368180945870142,0.15775499848107408,5
6,Bradicinesia (tapping pies),691,0.7967639978711759,0.012684197552651263,0.8200311092929476,0.04269432885994045,5
7,Levantarse silla,123,0.3180952380952381,0.18619961005485616,0.876969696969697,0.047545633209246194,5
8,Marcha,726,0.5849784450004634,0.0845965625087465,0.7092913907574426,0.0622880615283537,5
